,scoped_accuracy_best_in_game,self_healing,self_healing_most_in_game,enemies_slept,nano_boost_assists,unscoped_accuracy_best_in_game,enemies_slept_most_in_game,nano_boost_assists_most_in_game,biotic_grenade_kills,damage_amplified,damage_amplified_most_in_game,healing_amplified,healing_amplified_most_in_game,self_healing_avg_per_10_min,damage_amplified_avg_per_10_min,scoped_accuracy,healing_amplified_avg_per_10_min,biotic_grenade_kills_avg_per_10_min,unscoped_accuracy,nano_boost_assists_avg_per_10_min,enemies_slept_avg_per_10_min,melee_final_blows_avg_per_10_min,objective_time_avg_per_10_min,all_damage_done_avg_per_10_min,final_blows_avg_per_10_min,eliminations_per_life,objective_kills_avg_per_10_min,obj_contest_time_avg_per_10_min,solo_kills_avg_per_10_min,deaths_avg_per_10_min,hero_damage_done_avg_per_10_min,healing_done_avg_per_10_min,eliminations_avg_per_10_min,assists_avg_per_10_min,rank,biotic_grenade_kill,nano_boost_assist,nano_boost_assist_most_in_game,enemy_slept,enemy_slept_most_in_game,elimination_per_life
92,100.0,30012.0,1211.0,317.0,150.0,62,11.0,8.0,336.0,22376.0,1055.0,18578.0,1049.0,507.0,378.0,46.0,314.0,5.68,42,2.53,5.36,0.02,71.0,3218,2.23,1.38,4.11,30.0,0.2,7.06,2542.0,7227,9.72,12.64,silver,,,,,,
93,63.0,5423.0,917.0,65.0,44.0,72,12.0,10.0,60.0,7041.0,1009.0,4192.0,916.0,453.0,588.0,54.0,350.0,5.01,47,3.68,5.43,0.17,84.0,2915,1.59,1.46,6.18,24.0,,6.85,2187.0,8289,10.03,15.96,silver,,,,,,
94,83.0,850.0,455.0,20.0,6.0,81,8.0,5.0,25.0,1803.0,982.0,1914.0,866.0,309.0,656.0,74.0,696.0,9.1,71,2.18,7.28,,74.0,6539,2.55,4.7,7.64,23.0,,3.64,4279.0,16052,17.1,21.1,silver,,,,,,
95,67.0,3009.0,825.0,28.0,10.0,67,8.0,4.0,22.0,2260.0,931.0,2311.0,504.0,492.0,369.0,56.0,378.0,3.59,53,1.63,4.58,,51.0,3407,2.12,1.65,3.43,15.0,0.33,5.07,2340.0,7498,8.33,11.11,silver,,,,,,
96,88.0,3306.0,580.0,76.0,27.0,64,16.0,6.0,58.0,3965.0,841.0,4535.0,973.0,359.0,431.0,59.0,493.0,6.3,52,2.93,8.26,0.11,117.0,3225,1.63,1.54,6.84,53.0,0.11,7.06,2275.0,8155,10.86,18.03,silver,,,,,,
97,100.0,53263.0,976.0,907.0,569.0,250,14.0,13.0,785.0,78701.0,1720.0,71917.0,1771.0,318.0,470.0,62.0,430.0,4.69,50,3.4,5.42,0.09,48.0,3461,2.6,2.37,4.32,15.0,0.36,4.59,2849.0,8045,10.88,14.71,silver,,,,,,
98,63.0,432.0,170.0,26.0,15.0,68,13.0,6.0,18.0,1850.0,954.0,1626.0,808.0,159.0,678.0,58.0,596.0,6.6,58,5.5,9.53,,76.0,4810,3.67,3.23,9.17,14.0,0.73,4.77,3977.0,9793,15.4,17.97,silver,,,,,,
99,86.0,1854.0,1044.0,42.0,10.0,58,11.0,4.0,34.0,2621.0,999.0,2833.0,917.0,339.0,479.0,65.0,517.0,6.21,54,1.83,7.67,,106.0,4020,4.02,2.65,4.02,17.0,0.73,4.2,2910.0,10537,11.14,11.69,silver,,,,,,
100,54.0,1031.0,640.0,17.0,4.0,49,9.0,3.0,8.0,1069.0,539.0,483.0,235.0,522.0,542.0,49.0,245.0,4.05,43,2.03,8.62,0.51,84.0,3151,3.55,1.33,3.04,31.0,0.51,7.6,2420.0,5259,10.14,8.11,silver,,,,,,
101,69.0,478.0,200.0,9.0,3.0,71,4.0,2.0,8.0,653.0,429.0,497.0,238.0,359.0,490.0,55.0,373.0,6.0,51,2.25,6.75,0.75,67.0,4534,6.0,1.9,5.25,20.0,,7.5,3322.0,6606,14.25,15.75,silver,,,,,,
102,67.0,1851.0,618.0,35.0,16.0,59,8.0,6.0,31.0,2363.0,879.0,3826.0,1661.0,353.0,451.0,55.0,730.0,5.91,53,3.05,6.68,,69.0,3382,3.24,2.25,5.34,21.0,0.38,5.34,2997.0,10337,12.02,15.64,silver,,,,,,
103,71.0,2940.0,1279.0,48.0,20.0,62,12.0,6.0,32.0,2962.0,1195.0,2600.0,1185.0,447.0,451.0,59.0,396.0,4.87,52,3.04,7.31,0.15,76.0,3135,3.5,1.94,5.17,30.0,0.15,5.17,2486.0,8251,10.04,14.0,silver,,,,,,
104,62.0,3573.0,1203.0,35.0,20.0,56,9.0,6.0,35.0,3703.0,1792.0,2857.0,1167.0,547.0,567.0,56.0,438.0,5.36,50,3.06,5.36,,67.0,3516,2.76,1.89,3.37,11.0,0.46,5.36,2562.0,7991,10.11,13.63,silver,,,,,,
105,64.0,12844.0,1170.0,196.0,124.0,66,13.0,9.0,202.0,15366.0,973.0,9748.0,896.0,359.0,430.0,59.0,272.0,5.65,47,3.47,5.48,0.14,69.0,3393,3.21,1.81,4.72,34.0,0.42,6.29,2772.0,7071,11.38,14.9,silver,,,,,,
106,71.0,7096.0,754.0,139.0,94.0,100,12.0,11.0,122.0,12753.0,998.0,8490.0,851.0,274.0,493.0,58.0,328.0,4.72,55,3.64,5.38,0.15,85.0,2991,2.13,1.7,4.8,25.0,0.27,5.34,2434.0,8565,9.09,16.17,silver,,,,,,
107,66.0,449.0,349.0,2.0,3.0,75,,2.0,5.0,286.0,167.0,219.0,187.0,584.0,372.0,58.0,285.0,6.5,58,3.9,2.6,,121.0,4536,3.9,2.0,9.1,25.0,1.3,6.5,3417.0,8984,13.0,10.4,silver,,,,,1.0,
108,64.0,3196.0,982.0,54.0,46.0,48,9.0,9.0,68.0,5221.0,876.0,4172.0,991.0,320.0,522.0,57.0,417.0,6.8,43,4.6,5.4,0.1,48.0,2542,1.7,2.16,5.0,24.0,0.1,5.1,2181.0,8843,11.0,18.71,silver,,,,,,
109,81.0,200.0,200.0,8.0,9.0,62,4.0,8.0,3.0,841.0,798.0,808.0,548.0,163.0,683.0,71.0,656.0,2.44,58,7.32,6.5,,5.0,2272,3.25,3.25,4.88,5.0,,3.25,1760.0,9866,10.57,18.7,silver,,,,,,
110,54.0,778.0,407.0,10.0,7.0,58,3.0,3.0,8.0,1022.0,384.0,1119.0,475.0,278.0,366.0,49.0,400.0,2.86,56,2.51,3.58,,61.0,4642,2.51,,2.15,8.0,,6.8,2928.0,8124,6.8,11.81,silver,,,,,,1.0
